speaker,speech,document
Andrej Karpathy,think it's possible that physics has exploits and we should be trying to find them.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,arranging some kind of a crazy quantum mechanical system that somehow gives you buffer overflow somehow gives you a rounding error and the floating point.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Synthetic intelligences are kind of like the next stage of development.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And I don't know where it leads to like at some point, I suspect the universe is some kind of a puzzle, these synthetic AIS will uncover that puzzle and solve it.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,The following is a conversation with Andre Karpati.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Previously, the director of AI at Tesla.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And before that, at open AI, and Stanford, he is one of the greatest scientists, engineers and educators in the history of artificial intelligence.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"This is the LEX Friedman podcast to support it, please check out our sponsors.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And now, dear friends, here's Andre kabaah thing.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,What is a neural network?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,And why does it seem to do such a surprisingly good job of learning?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"What is a neural network, it's a mathematical abstraction of the brain, I would say that's how it was originally developed.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"At the end of the day, it's a mathematical expression.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And it's a fairly simple mathematical expression when you get down to it.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"It's basically a sequence of matrix multiplies whichever li dot products mathematically, and some non linearity is thrown in.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And so it's a very simple mathematical expression.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And it's got knobs in it many knobs, many knobs, and these knobs are loosely related to basically the synapses in your brain.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"They're trainable, they're modifiable.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And so the idea is like, we need to find the setting of the knobs that makes the neural net, do whatever you want it to do, like classify images, and so on.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And so there's not too much mystery, I was saying that like, you might think that basically don't want to endow it with too much meaning with respect to the brain and how it works.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,It's really just a complicated mathematical expression with knobs.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And those knobs need a proper setting for it to do something desirable.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, but poetry","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"is just a collection of letters with spaces, but it can make us feel a certain way.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"In that same way, when you get a large number of knobs together, whether it's in the inside the brain or inside a computer, they seem to.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,They seem to surprise us with the power.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, I think that's fair.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So basically, I'm underselling it by a lot, because you definitely do get very surprising emergent behaviors out of these neural nets when they're large enough and trained on complicated enough problems.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Like say, for example, the next word prediction in a massive data set from the internet.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And then these neural nets they call pretty surprising magical properties.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, I think it's kind of interesting how much you can get out of even very simple mathematical formalism,","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,when your brain right now is talking.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Is it doing next word prediction?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Or is it doing something more interesting?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Well, definitely some kind of a generative model.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,That's a GPT.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Like and prompted by you.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Yeah.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,So you're giving me a prompt?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And I'm kind of like responding to it in a generative way.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And by yourself, perhaps a little bit?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Like, are you adding extra prompts from your own memory inside your head?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
