speaker,speech,document
Rana el Kaliouby,"There's a broader question here, right as we build socially and emotionally intelligent machines, what does that mean about our relationship with them? And then we're broadly our relationship with one another, right? Because this machine is going to be programmed to be amazing at empathy, by definition, right? It's going to always be there for you. It's not going to get bored. I don't know how I feel about that. I think about that a lot.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"The following is a conversation with Rana L. CL UB, a pioneer in the field of emotion recognition, and human centric artificial intelligence. She is the founder of F Aktiva, Deputy CEO of smart AI, author of girl decoded, and one of the most brilliant, kind, inspiring and fun human beings. I've gotten the chance to talk to this is the LEX Friedman podcast. To support it, please check out our sponsors in the description. And now dear friends, here's Ronna, l. Cole up, you grew up in the Middle East in Egypt, what is the memory from that time that makes you smile, or maybe a memory that stands out as helping your mind take shape and helping you to find yourself in this world.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"So the memory that stands out is we used to live in my grandma's house, she used to have these mango trees in her garden, and in the summer, and so mango season was like July and August. And so in the summer, she would invite all my aunts, uncles, and cousins, and you know, like it was just like, maybe there were like 20 or 30 people in the house and she would cook all this amazing food. And us the kids, we were like, go down the garden and we would like pick all these mangoes and and I don't know, I think it's just the bringing people together like that always stuck with me the warmth around the mango tree. Yeah, around the mango tree. And that's just like the joy the joy of being together around food. And I'm a terrible cook. So I guess that didn't that that memory didn't translate to me kind of doing this and I love hosting people.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"Do you remember colors? Smells? Is that what? Like? What? How does memory work? Yeah, like what do you visualize visualize people's faces. Smiles do is there colors. Is there like a theme to the colors? Is it smells because of food involved?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah, I think that's a great question. So that those Egyptian mangoes, there's a particular type that I love, and it's called OAC mangoes, and they're kind of, you know, they're oval, and they have a little red in them. So they're red and mango colored on the outside. So I remember that.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"There's red NDK, like extra sweetness. Is that Yes, that means like, it's nicely sweet. Yes, nice and ripe and stuff. Yeah. What? What's like a definitive food of Egypt. You know, there's like these almost stereotypical foods in different parts of the world like Ukraine. invented? Borsch borscht is this beet soup with that you put sour cream seeds, I can't. If you if you're not, if you know what it is, I think you know, is delicious. But if I explain it, it's just not going to sound delicious. I feel like beet soup. This is making sense. But that's kind of, and you probably have actually seen pictures of it. Because it's one of the traditional foods in Ukraine, in Russia in different parts of the Slavic world. So this, but it's become so cliche and stereotypical that you almost don't mention it, but it's still delicious. Like I visited Ukraine, it's a that every single day. So do you.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Do you make it yourself? How hard is it to make? No,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"I don't know, I think to make it well, like anything like Italians. They say, well, tomato sauce is easy to make, but did make it right. That's like a generational skill. So anyway, is there something like that in Egypt? Is there a culture of food,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"there is an actually, we have a similar kind of soup. It's called Melania. And it's, it's made of this green plant. It's like it's somewhere between spinach and kale and you miss it. And then you cook it in like chicken broth. And my grandma used to make and my mom makes it really well. And I try to make it but it's not as great. So we used to have that. And then we used to have it alongside stuffed pigeons. I'm pescatarian now so it's not anymore, but stuffed pigeon. Yes. Like it was really yummy. It's the one thing I miss about, you know, now that I'm pescetarian and I don't eat","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,the stuff pigeon. I said what are they stuffed with? If that doesn't bother you too much to describe?,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"No, no, it's stuffed with a lot of like, just rice and rice. Yeah.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"So and you also you said that your first in your book that your first computer was an Atari and Space Invaders was your favorite game? Is that when you first fell in love with computers? Would you say? Yeah, I would say so. videogames or just the computer itself? Just something about the machine. Oh, this thing. Magic in here. Yeah, I","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"think the magical moment is definitely like playing video games with my I have two younger sisters. And we just like had fun together like playing games. But the other memory I have as my first code. First code I wrote, I wrote, I drew a Christmas tree. And I'm Muslim, right? So it's kind of it was kind of funny that I that I that the first thing I did was like this Christmas tree. So yeah. And that was when I realized, well, you can you can write code to do all sorts of like, really cool stuff. I must have been like six or seven at the time.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"So you can write programs, and the programs do stuff for you. That's power. At some point. If you think about it, that's empowering. Hey, hi. Yeah, I know what it is. I don't know if you see like, I don't know if many people think of it that way. When I first learned to program, they just loved the puzzle of it. Like, oh, this is cool is pretty Christmas tree. But like its power. It is like you eventually I guess you couldn't at the time. But eventually this thing. If it's interesting enough, if it's a pretty enough Christmas tree, it can be run by millions of people and bring them joy, like that little thing. And then because it's digital, it's easy to spread. So like you just created something that's easily spreadable to millions of people. It's hard to think that way when you're six. In the book you write I am who I am. Because I was raised by a particular set of parents, both modern and conservative, forward thinking yet locked in tradition. I'm a Muslim, and I feel I'm stronger, more centered for it. I adhere to the values of my religion, even if I'm not as beautiful as I once was. And I am a new American. And I'm thriving and the energy, vitality and entrepreneurial spirit of this great country. So let me ask you about your parents. What have you learned about life from them? Especially when you were young.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"So both my parents, they're a Gyptian. But they moved to Kuwait. Right out, they actually there's a cute story about how they met. So my dad taught COBOL and then 70s. And my mom decided to learn programming. So she signed up to take us COBOL programming class. And he tried to date her and she's like, No, no, I don't date. And so he's like, Okay, I'll propose and that's how they got married.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"Oh. That's really impressive. Those Those COBOL guys know how to how to impress. So, so yes, what have you learned from them.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"So definitely grit, one of the core values in our families, just hard work. There were no slackers in our family. And that's something I've definitely, that's definitely stayed with me. Both both as a professional, but also in my personal life. But I also think my mom, my mom always used to like, I don't know, it was like, unconditional love. Like, I just knew my parents would be there for me, kind of, regardless of what I chose to do. I think that's very powerful. And they got tested on it, because I kind of challenged you know, I chose to challenge cultural norms, and I kind of took a different path, I guess, than what's expected. And of, you know, women in the Middle East, and then they and I, you know, they still love me, which is, which is I'm so grateful","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"for that one was like a moment that was the most challenging for them, which moment where they kind of they had to come face to face with the fact that you're a bit of a rebel.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"I think the first big moment was when I, I had just gotten married. But I decided to go do my PhD at Cambridge University. And because my husband at the time, he's now my ex, ran a company in Cairo, he was going to stay in Egypt. So it was going to be a long distance relationship. And that's very unusual in the Middle East for a woman to just head out and kind of, you know, pursue her career. And so my dad, actually, my dad, and my, my parents in law both said, you know, we do not approve of you doing this, but now you're under the jurisdiction of your husband so he can make the call. And luckily for me, he was supportive. He said, You know, this is your dream come true. You've always wanted to do a PhD, I'm going to support you. So I think that was the first time where, you know, I challenged the cultural norms. Was that scary? Oh, my God. Yes. It was totally scary. It was the biggest culture","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,shock from from there to Cambridge to London.,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Well, that was also during right around September 11. So everyone thought that there was going to be a third In World War II, it was really like an AI at the time I used to wear the hijab. So I was very visibly Muslim. And so my parents were they were afraid for my safety. But anyways, when I got to Cambridge because I was so scared, I decided to take off my headscarf and wear a hat instead. So I just went to class wearing these like British, which was, in my opinion, actually worse than just showing up in a headscarf because it was just so awkward, right, like, sitting in class with like, all these trying to fit in. Yeah. Yeah. So after a few weeks of doing that, I was like to heck with that. I'm just gonna go back to wearing my headscarf.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"Yeah, you were the hijab, starting in 2000, and for 12 years after. So always, whenever you're in public, you have to wear the can you speak to that to the hijab? Maybe you're mixed feelings about it? Like what does it represent? In its best case? What does it represent? In the worst case?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah, you know, I think there's a lot of this, I guess I'll first start by saying, I wore it voluntarily, I was not forced to wear it. And in fact, I was one of the very first women in my family to decide to put on the hijab. And my family thought was really odd, right? Like there was, they were like, Why do you want to put this on and, and, and at its best, it's, it's a sign of modesty, humility.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"It's like me wearing a suit. People are like, Why are you wearing a suit? It's a step back into some kind of tradition, or respect for traditional sort of sorts, who you said, because it's by choice, you're kind of free to make that choice, right? To celebrate a tradition of modesty.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
